[Header]	
System	TOC_TN	
S/W Version	1.00	
User		
Date/Time	23/12/2022 15:48:16	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	SD Area	CV Area	SD Conc	CV Conc	Excluded	Inj. Vol.	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TC_05_5ppm.2021_10_13_13_22_14.cal	1.00			23/12/2022 10:03:02	1	1	TC	0.7190	0.6944	-0.1451	-0.1487	TC:-0.1487mg/L TN:0.2843mg/L	TC:-0.1487mg/L TN:0.2843mg/L	0.03479	5.01	0.00521	-3.50	0	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TC_05_5ppm.2021_10_13_13_22_14.cal	1.00			23/12/2022 10:05:10	1	2	TC	0.6698	0.6944	-0.1524	-0.1487	TC:-0.1487mg/L TN:0.2843mg/L	TC:-0.1487mg/L TN:0.2843mg/L	0.03479	5.01	0.00521	-3.50	0	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TN_05_5ppm.2021_10_14_03_07_56.cal	1.00			23/12/2022 10:03:02	1	1	TN	0.7635	0.5117	0.3168	0.2843	TC:-0.1487mg/L TN:0.2843mg/L	TC:-0.1487mg/L TN:0.2843mg/L	0.3561	69.59	0.04598	16.17	0	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TN_05_5ppm.2021_10_14_03_07_56.cal	1.00			23/12/2022 10:05:10	1	2	TN	0.2599	0.5117	0.2517	0.2843	TC:-0.1487mg/L TN:0.2843mg/L	TC:-0.1487mg/L TN:0.2843mg/L	0.3561	69.59	0.04598	16.17	0	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TN_05_5ppm.2021_10_14_03_07_56.cal	1.00			23/12/2022 10:07:42	1	3	TN	1.720	0.5117	0.4403	0.2843	TC:-0.1487mg/L TN:0.2843mg/L	TC:-0.1487mg/L TN:0.2843mg/L	0.3561	69.59	0.04598	16.17	1	81	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_TC_5_50ppm.2021_10_13_16_05_25.cal	1.00			23/12/2022 10:14:04	1	1	TC	166.0	167.4	39.94	40.27	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	1.929	1.15	0.4624	1.15	0	50	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_TC_5_50ppm.2021_10_13_16_05_25.cal	1.00			23/12/2022 10:16:47	1	2	TC	166.6	167.4	40.08	40.27	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	1.929	1.15	0.4624	1.15	0	50	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_TC_5_50ppm.2021_10_13_16_05_25.cal	1.00			23/12/2022 10:19:42	1	3	TC	169.6	167.4	40.80	40.27	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	1.929	1.15	0.4624	1.15	0	50	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_IC_5_50ppm.2021_10_14_18_13_31.cal	1.00			23/12/2022 10:24:27	1	1	IC	177.2	176.8	38.37	38.28	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	0.5657	0.32	0.1205	0.31	0	50	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_IC_5_50ppm.2021_10_14_18_13_31.cal	1.00			23/12/2022 10:26:39	1	2	IC	176.4	176.8	38.20	38.28	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	TOC:1.992mg/L TC:40.27mg/L IC:38.28mg/L	0.5657	0.32	0.1205	0.31	0	50	
